date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,31,0,,,,,21984,,,,,,0,0,,,,False,False,False
2013-04-11,0,30,0,,,,,22008,,,,,,0,0,,,,False,False,False
2013-04-12,0,32,0,,,,,22032,,,,,,0,0,,,,False,False,False
2013-04-13,0,32,0,,,,,22056,,,,,,0,0,,,,False,False,False
2013-04-14,0,33,0,,,,,22080,,,,,,0,0,,,,False,False,False
2013-04-15,0,32,0,,,,,22103,,,,,,0,0,,,,False,False,False
2013-04-16,0,33,0,,,,,22127,,,,,,0,0,,,,False,False,False
2013-04-17,0,32,0,,,,,22151,,,,,,0,0,,,,False,False,False
2013-04-18,0,33,0,,,,,22175,,,,,,0,0,,,,False,False,False
2013-04-19,0,33,0,,,,,22199,,,,,,0,0,,,,False,False,False
2013-04-20,0,28,0,,,,,21131,,,,,,0,0,,,,False,False,False
2013-04-21,0,30,0,,,,,21155,,,,,,0,0,,,,False,False,False
2013-04-22,0,27,0,,,,,21179,,,,,,0,0,,,,False,False,False
2013-04-23,0,27,0,,,,,21203,,,,,,0,0,,,,False,False,False
2013-04-24,0,30,0,,,,,21227,,,,,,0,0,,,,False,False,False
2013-04-25,0,30,0,,,,,21150,,,,,,0,0,,,,False,False,False
2013-04-26,0,30,0,,,,,21174,,,,,,0,0,,,,False,False,False
2013-04-27,0,31,0,,,,,21198,,,,,,0,0,,,,False,False,False
2013-04-28,0,30,0,,,,,21222,,,,,,0,0,,,,False,False,False
2013-04-29,0,28,0,,,,,21246,,,,,,0,0,,,,False,False,False
2013-04-30,0,30,0,,,,,21270,,,,,,0,0,,,,False,False,False
2013-05-01,0,28,0,,,,,21294,,,,,,0,0,,,,False,False,False
2013-05-02,0,34,0,,,,,21318,,,,,,0,0,,,,False,False,False
2013-05-03,0,32,0,,,,,21342,,,,,,0,0,,,,False,False,False
2013-05-04,0,31,0,,,,,21366,,,,,,0,0,,,,False,False,False
2013-05-05,0,34,0,,,,,21390,,,,,,0,0,,,,False,False,False
2013-05-06,0,32,0,,,,,21414,,,,,,0,0,,,,False,False,False
2013-05-07,0,30,0,,,,,21438,,,,,,0,0,,,,False,False,False
2013-05-08,0,34,0,,,,,21462,,,,,,0,0,,,,False,False,False
2013-05-09,0,34,0,,,,,21486,,,,,,0,0,,,,False,False,False
2013-05-10,0,34,0,,,,,21510,,,,,,0,0,,,,False,False,False
2013-05-11,0,34,0,,,,,21534,,,,,,0,0,,,,False,False,False
2013-05-12,0,33,0,,,,,21558,,,,,,0,0,,,,False,False,False
2013-05-13,0,34,0,,,,,21582,,,,,,0,0,,,,False,False,False
2013-05-14,0,34,0,,,,,21606,,,,,,0,0,,,,False,False,False
2013-05-15,0,34,0,,,,,21630,,,,,,0,0,,,,False,False,False
2013-05-16,0,34,0,,,,,21654,,,,,,0,0,,,,False,False,False
2013-05-17,0,34,0,,,,,21678,,,,,,0,0,,,,False,False,False
2013-05-18,0,34,0,,,,,21702,,,,,,0,0,,,,False,False,False
2013-05-19,0,34,0,,,,,21726,,,,,,0,0,,,,False,False,False
2013-05-20,0,34,0,,,,,21750,,,,,,0,0,,,,False,False,False
2013-05-21,0,34,0,,,,,21774,,,,,,0,0,,,,False,False,False
2013-05-22,0,34,0,,,,,21798,,,,,,0,0,,,,False,False,False
