date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2015-03-04,0,22,0,3,3,0,1,130,0,116,0,0,0,0,0,0,0,0,False,False,False
2015-03-05,0,22,0,3,3,0,1,154,0,116,0,0,0,0,0,0,0,0,False,False,False
2015-03-06,0,22,0,3,3,0,1,178,0,116,0,0,0,0,0,0,0,0,False,False,False
2015-03-07,0,22,0,5,5,0,2,201,0,117,0,0,0,0,0,0,0,0,False,False,False
2015-03-08,0,22,0,5,5,0,2,225,0,117,0,0,0,0,0,0,0,0,False,False,False
2015-03-09,0,22,0,5,5,0,2,250,0,117,0,0,0,0,0,0,0,0,False,False,False
2015-03-10,0,22,0,5,5,0,2,273,0,117,0,0,0,0,0,0,0,0,False,False,False
2015-03-11,0,23,0,5,5,0,2,296,0,117,0,0,0,0,0,0,0,0,False,False,False
2015-03-12,0,22,0,5,5,0,2,320,0,117,0,0,0,0,0,0,0,0,False,False,False
2015-03-13,0,23,0,5,5,0,2,345,0,117,0,0,0,0,0,0,0,0,False,False,False
2015-03-14,0,22,0,5,5,0,2,368,0,117,0,0,0,0,0,0,0,0,False,False,False
2015-03-15,0,22,0,5,5,0,2,392,0,118,0,0,0,0,0,0,0,0,False,False,False
2015-03-16,0,22,0,5,5,0,2,417,0,119,0,0,0,0,0,0,0,0,False,False,False
2015-03-17,0,22,0,5,5,0,2,440,0,120,0,0,0,0,0,0,0,0,False,False,False
2015-03-18,0,21,0,5,5,0,2,464,0,121,0,0,0,0,0,0,0,0,False,False,False
2015-03-28,0,23,0,5,5,0,2,704,0,133,0,0,0,0,0,0,0,0,False,False,False
2015-03-29,0,22,0,5,5,0,2,728,0,134,0,0,0,0,0,0,0,0,False,False,False
2015-03-30,0,23,0,5,5,0,2,752,0,135,0,0,0,0,0,0,0,0,False,False,False
