date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-10-18,0,27,0,,,,,11,,,,,,0,0,,,,False,False,False
2013-10-19,0,26,0,,,,,35,,,,,,0,0,,,,False,False,False
2013-10-20,0,28,0,,,,,59,,,,,,0,0,,,,False,False,False
2013-10-21,0,28,0,,,,,83,,,,,,0,0,,,,False,False,False
2013-10-22,0,28,0,,,,,107,,,,,,0,0,,,,False,False,False
2013-10-23,0,28,0,,,,,131,,,,,,0,0,,,,False,False,False
2013-10-24,0,28,0,,,,,155,,,,,,0,0,,,,False,False,False
2013-10-25,0,28,0,,,,,179,,,,,,0,0,,,,False,False,False
2013-10-26,0,28,0,,,,,203,,,,,,0,0,,,,False,False,False
2013-10-27,0,28,0,,,,,226,,,,,,0,0,,,,False,False,False
2013-10-28,0,28,0,,,,,251,,,,,,0,0,,,,False,False,False
2013-10-29,0,28,0,,,,,275,,,,,,0,0,,,,False,False,False
2013-10-30,0,28,0,,,,,299,,,,,,0,0,,,,False,False,False
2013-10-31,0,28,0,,,,,322,,,,,,0,0,,,,False,False,False
2013-11-01,0,28,0,,,,,347,,,,,,0,0,,,,False,False,False
2013-11-02,0,32,0,,,,,370,,,,,,0,0,,,,False,False,False
