date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,26,,0,,,,,749,,,,,0,0,,,,False,False,False
2013-04-11,0,26,,0,,,,,773,,,,,0,0,,,,False,False,False
2013-04-12,0,25,,0,,,,,796,,,,,0,0,,,,False,False,False
2013-04-13,0,26,,0,,,,,821,,,,,0,0,,,,False,False,False
2013-04-14,0,25,,0,,,,,845,,,,,0,0,,,,False,False,False
2013-04-15,0,25,,0,,,,,869,,,,,0,0,,,,False,False,False
2013-04-16,0,24,,0,,,,,893,,,,,0,0,,,,False,False,False
2013-04-17,0,25,,0,,,,,917,,,,,0,0,,,,False,False,False
2013-04-18,0,25,,0,,,,,941,,,,,0,0,,,,False,False,False
2013-04-19,0,24,,0,,,,,965,,,,,0,0,,,,False,False,False
2013-04-20,0,25,,0,,,,,989,,,,,0,0,,,,False,False,False
2013-04-21,0,24,,0,,,,,1013,,,,,0,0,,,,False,False,False
2013-04-22,0,25,,0,,,,,1037,,,,,0,0,,,,False,False,False
2013-04-23,0,23,,0,,,,,1061,,,,,0,0,,,,False,False,False
2013-04-24,0,21,,0,,,,,1085,,,,,0,0,,,,False,False,False
2013-04-25,0,21,,0,,,,,1109,,,,,0,0,,,,False,False,False
2013-04-26,0,22,,0,,,,,1133,,,,,0,0,,,,False,False,False
2013-04-27,0,22,,0,,,,,1157,,,,,0,0,,,,False,False,False
2013-04-28,0,22,,0,,,,,1181,,,,,0,0,,,,False,False,False
2013-04-29,0,21,,0,,,,,1205,,,,,0,0,,,,False,False,False
2013-04-30,0,24,,0,,,,,1229,,,,,0,0,,,,False,False,False
2013-05-01,0,24,,0,,,,,1253,,,,,0,0,,,,False,False,False
2013-05-02,0,22,,0,,,,,1277,,,,,0,0,,,,False,False,False
2013-05-03,0,22,,0,,,,,1301,,,,,0,0,,,,False,False,False
2013-05-04,0,22,,0,,,,,1325,,,,,0,0,,,,False,False,False
2013-05-05,0,20,,0,,,,,1349,,,,,0,0,,,,False,False,False
