date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-10-02,0,24,42,0,3,3,0,7,132,100,0,7,0,0,0,0,0,0,False,False,False
2014-10-03,0,25,42,0,3,3,0,8,156,100,0,8,0,0,0,0,0,0,False,False,False
2014-10-04,0,25,42,0,3,3,0,9,180,100,0,9,0,0,0,0,0,0,False,False,False
2014-10-05,0,25,42,0,3,3,0,10,204,100,0,10,0,0,0,0,0,0,False,False,False
2014-10-06,0,25,42,0,3,3,0,11,228,100,0,11,0,0,0,0,0,0,False,False,False
2014-10-07,0,25,42,0,3,3,0,11,252,100,0,11,0,0,0,0,0,0,False,False,False
2014-10-08,0,25,42,0,3,3,0,12,276,100,0,12,0,0,0,0,0,0,False,False,False
2014-10-09,0,24,42,0,3,3,0,13,300,100,0,13,0,0,0,0,0,0,False,False,False
2014-10-10,0,25,42,0,3,3,0,14,324,100,0,14,0,0,0,0,0,0,False,False,False
2014-10-11,0,25,42,0,3,3,0,15,348,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-12,0,25,42,0,3,3,0,15,372,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-13,0,25,42,0,3,3,0,15,396,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-14,0,24,42,0,3,3,0,15,420,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-15,0,24,42,0,3,3,0,15,444,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-16,0,25,42,0,3,3,0,15,468,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-17,0,25,42,0,3,3,0,15,492,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-18,0,25,42,0,3,3,0,15,516,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-19,0,25,42,0,3,3,0,15,540,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-20,0,24,42,0,3,3,0,15,564,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-21,0,24,42,0,3,3,0,15,588,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-22,0,25,42,0,3,3,0,15,612,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-23,0,25,42,0,3,3,0,15,636,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-24,0,24,42,0,3,3,0,15,660,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-25,0,25,42,0,3,3,0,15,684,100,0,15,0,0,0,0,0,0,False,False,False
2014-10-26,0,25,42,0,3,3,0,15,708,100,0,15,0,0,0,0,0,0,False,False,False
