date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2014-08-13,0,30,0,0,3,3,0,3,6,0,0,3,0,0,0,0,0,0,False,False,False
2014-08-14,0,30,0,0,3,3,0,4,30,0,0,4,0,0,0,0,0,0,False,False,False
2014-08-15,0,30,0,0,3,3,0,5,54,0,0,5,0,0,0,0,0,0,False,False,False
2014-08-16,0,29,0,0,3,3,0,5,78,0,0,5,0,0,0,0,0,0,False,False,False
2014-08-17,0,29,0,0,3,3,0,6,102,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-18,0,30,0,0,3,3,0,6,126,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-19,0,30,0,0,3,3,0,6,150,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-20,0,30,0,0,3,3,0,6,174,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-21,0,31,0,0,3,3,0,6,199,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-22,0,28,0,0,3,3,0,6,222,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-23,0,28,0,0,3,3,0,6,246,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-24,0,28,0,0,3,3,0,6,270,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-25,0,28,0,0,3,3,0,6,294,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-26,0,25,0,0,3,3,0,6,318,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-27,0,25,0,0,3,3,0,6,342,0,0,6,0,0,0,0,0,0,False,False,False
2014-08-28,0,25,42,0,3,3,0,7,359,101,0,7,0,0,0,0,0,0,False,False,False
2014-10-04,0,24,42,0,3,3,0,16,1254,101,0,16,0,0,0,0,0,0,False,False,False
2014-10-05,0,24,42,0,3,3,0,16,1278,101,0,16,0,0,0,0,0,0,False,False,False
2014-10-06,0,24,42,0,3,3,0,16,1302,104,0,16,0,0,0,0,0,0,False,False,False
2014-10-07,0,24,43,0,3,3,0,17,1327,104,0,17,0,0,0,0,0,0,False,False,False
2014-10-08,0,24,43,0,3,3,0,17,1350,104,0,17,0,0,0,0,0,0,False,False,False
