date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-09-17,0,31,42,0,3,3,0,8,126,100,0,8,0,0,0,0,0,0
2014-09-18,0,31,42,0,3,3,0,8,150,100,0,8,0,0,0,0,0,0
2014-09-19,0,32,42,0,3,3,0,9,174,100,0,9,0,0,0,0,0,0
2014-09-20,0,33,42,0,3,3,0,10,197,100,0,10,0,0,0,0,0,0
2014-09-21,0,32,42,0,3,3,0,10,222,100,0,10,0,0,0,0,0,0
2014-09-22,0,32,42,0,3,3,0,11,246,100,0,11,0,0,0,0,0,0
2014-09-23,0,32,42,0,3,3,0,11,269,100,0,11,0,0,0,0,0,0
2014-09-24,0,30,42,0,3,3,0,12,294,100,0,12,0,0,0,0,0,0
2014-09-25,0,29,42,0,3,3,0,13,318,100,0,13,0,0,0,0,0,0
2014-09-26,0,28,41,0,3,3,0,14,341,100,0,14,0,0,0,0,0,0
2014-09-27,0,30,41,0,3,3,0,15,366,100,0,15,0,0,0,0,0,0
2014-09-28,0,29,42,0,3,3,0,16,390,100,0,16,0,0,0,0,0,0
2014-09-29,0,30,41,0,3,3,0,17,414,100,0,17,0,0,0,0,0,0
2014-09-30,0,29,42,0,3,3,0,18,438,100,0,18,0,0,0,0,0,0
2014-10-01,0,30,42,0,3,3,0,19,462,100,0,19,0,0,0,0,0,0
2014-10-02,0,29,40,0,3,3,0,20,486,100,0,20,0,0,0,0,0,0
2014-10-03,0,30,42,0,3,3,0,21,510,100,0,21,0,0,0,0,0,0
2014-10-04,0,30,42,0,3,3,0,22,534,100,0,22,0,0,0,0,0,0
2014-10-05,0,30,42,0,3,3,0,23,558,100,0,23,0,0,0,0,0,0
2014-10-06,0,30,42,0,3,3,0,23,582,100,0,23,0,0,0,0,0,0
2014-10-07,0,30,42,0,3,3,0,24,606,100,0,24,0,0,0,0,0,0
2014-10-08,0,30,42,0,4,4,0,27,629,100,0,27,0,0,0,0,0,0
2014-10-09,0,29,42,0,4,4,0,28,654,100,0,28,0,0,0,0,0,0
2014-10-10,0,30,42,0,4,4,0,29,678,100,0,29,0,0,0,0,0,0
2014-10-11,0,30,42,0,4,4,0,30,702,100,0,30,0,0,0,0,0,0
2014-10-12,0,30,42,0,4,4,0,31,726,100,0,31,0,0,0,0,0,0
2014-10-13,0,29,42,0,4,4,0,31,750,100,0,31,0,0,0,0,0,0
2014-10-14,0,29,42,0,4,4,0,32,773,100,0,32,0,0,0,0,0,0
2014-10-15,0,29,43,0,4,4,0,33,798,100,0,33,0,0,0,0,0,0
2014-10-16,0,28,42,0,4,4,0,34,822,100,0,34,0,0,0,0,0,0
2014-10-17,0,28,42,0,4,4,0,35,845,100,0,35,0,0,0,0,0,0
2014-10-18,0,28,42,0,4,4,0,36,869,100,0,36,0,0,0,0,0,0
2014-10-19,0,28,42,0,4,4,0,37,894,100,0,37,0,0,0,0,0,0
