date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,32,,0,,,,,17947,,,,,0,0,,,
2013-04-11,0,32,,0,,,,,17971,,,,,0,0,,,
2013-04-12,0,33,,0,,,,,17995,,,,,0,0,,,
2013-04-13,0,34,,0,,,,,18019,,,,,0,0,,,
2013-04-14,0,34,,0,,,,,18043,,,,,0,0,,,
2013-04-15,0,33,,65537,,,,,18067,,,,,0,0,,,
2013-04-16,0,33,,0,,,,,18091,,,,,0,0,,,
2013-04-17,0,33,,0,,,,,18116,,,,,0,0,,,
2013-04-18,0,33,,0,,,,,18139,,,,,0,0,,,
2013-04-19,0,34,,65536,,,,,18163,,,,,0,0,,,
2013-04-20,0,34,,0,,,,,18187,,,,,0,0,,,
2013-04-21,0,34,,0,,,,,18212,,,,,0,0,,,
2013-04-22,0,34,,65536,,,,,18235,,,,,0,0,,,
2013-04-23,0,34,,0,,,,,18259,,,,,0,0,,,
2013-04-24,0,33,,0,,,,,18283,,,,,0,0,,,
2013-04-25,0,31,,0,,,,,18308,,,,,0,0,,,
2013-04-26,0,39,,0,,,,,18326,,,,,0,0,,,
2013-04-27,0,38,,0,,,,,18350,,,,,0,0,,,
2013-04-28,0,38,,0,,,,,18374,,,,,0,0,,,
2013-04-29,0,38,,1,,,,,18398,,,,,0,0,,,
2013-04-30,0,36,,0,,,,,18422,,,,,0,0,,,
2013-05-01,0,37,,0,,,,,18446,,,,,0,0,,,
2013-05-02,0,38,,65536,,,,,18470,,,,,0,0,,,
2013-05-03,0,39,,0,,,,,18494,,,,,0,0,,,
2013-05-04,0,39,,0,,,,,18518,,,,,0,0,,,
2013-05-05,0,39,,0,,,,,18542,,,,,0,0,,,
2013-05-06,0,39,,65536,,,,,18566,,,,,0,0,,,
2013-05-07,0,39,,0,,,,,18590,,,,,0,0,,,
2013-05-08,0,39,,65536,,,,,18614,,,,,0,0,,,
2013-05-09,0,38,,0,,,,,18638,,,,,0,0,,,
2013-05-10,0,38,,0,,,,,18662,,,,,0,0,,,
2013-05-11,0,37,,0,,,,,18686,,,,,0,0,,,
2013-05-12,0,37,,0,,,,,18710,,,,,0,0,,,
2013-05-13,0,37,,0,,,,,18734,,,,,0,0,,,
2013-05-14,0,36,,0,,,,,18758,,,,,0,0,,,
2013-05-15,0,37,,0,,,,,18782,,,,,0,0,,,
2013-05-16,0,37,,0,,,,,18806,,,,,0,0,,,
2013-05-17,0,39,,65536,,,,,18830,,,,,0,0,,,
2013-05-18,0,37,,0,,,,,18854,,,,,0,0,,,
2013-05-19,0,37,,0,,,,,18878,,,,,0,0,,,
2013-05-20,0,37,,0,,,,,18902,,,,,0,0,,,
2013-05-21,0,37,,1,,,,,18926,,,,,0,0,,,
2013-05-22,0,38,,0,,,,,18950,,,,,0,0,,,
2013-05-23,0,39,,0,,,,,18974,,,,,0,0,,,
2013-05-24,0,40,,1,,,,,18998,,,,,0,0,,,
2013-05-25,0,35,,2,,,,,19022,,,,,0,0,,,
2013-05-26,0,37,,0,,,,,19046,,,,,0,0,,,
2013-05-27,0,38,,0,,,,,19070,,,,,0,0,,,
2013-05-28,0,37,,0,,,,,19094,,,,,0,0,,,
2013-05-29,0,37,,0,,,,,19118,,,,,0,0,,,
2013-05-30,0,38,,0,,,,,19142,,,,,0,0,,,
2013-05-31,0,37,,0,,,,,19166,,,,,0,0,,,
2013-06-01,0,37,,1,,,,,19190,,,,,0,0,,,
2013-06-02,0,37,,0,,,,,19214,,,,,0,0,,,
2013-06-03,0,31,,0,,,,,19238,,,,,0,0,,,
2013-06-04,0,31,,0,,,,,19262,,,,,0,0,,,
2013-06-05,0,33,,0,,,,,19286,,,,,0,0,,,
2013-06-06,0,32,,0,,,,,19310,,,,,0,0,,,
2013-06-07,0,33,,1,,,,,19334,,,,,0,0,,,
2013-06-08,0,38,,0,,,,,19358,,,,,0,0,,,
2013-06-09,0,38,,1,,,,,19382,,,,,0,0,,,
2013-06-10,0,39,,0,,,,,19406,,,,,0,0,,,
2013-06-11,0,39,,1,,,,,19430,,,,,0,0,,,
2013-06-12,0,49,,131072,,,,,19454,,,,,0,0,,,
2013-06-13,0,34,,0,,,,,19478,,,,,0,0,,,
2013-06-14,0,38,,0,,,,,19502,,,,,0,0,,,
2013-06-15,0,37,,0,,,,,19526,,,,,0,0,,,
2013-06-16,0,38,,65537,,,,,19550,,,,,0,0,,,
2013-06-17,0,38,,0,,,,,19574,,,,,0,0,,,
2013-06-18,0,39,,0,,,,,19598,,,,,0,0,,,
2013-06-19,0,37,,0,,,,,19622,,,,,0,0,,,
2013-06-20,0,38,,0,,,,,19646,,,,,0,0,,,
2013-06-21,0,38,,0,,,,,19670,,,,,0,0,,,
2013-06-22,0,38,,0,,,,,19694,,,,,0,0,,,
2013-06-23,0,36,,0,,,,,19718,,,,,0,0,,,
2013-06-24,0,37,,0,,,,,19742,,,,,0,0,,,
2013-06-25,0,37,,0,,,,,19766,,,,,0,0,,,
2013-06-26,0,37,,0,,,,,19790,,,,,0,0,,,
2013-06-27,0,37,,0,,,,,19814,,,,,0,0,,,
2013-06-28,0,37,,0,,,,,19838,,,,,0,0,,,
2013-06-29,0,38,,0,,,,,19862,,,,,0,0,,,
2013-06-30,0,38,,0,,,,,19886,,,,,0,0,,,
2013-07-01,0,38,,0,,,,,19910,,,,,0,0,,,
2013-07-02,0,38,,0,,,,,19934,,,,,0,0,,,
2013-07-03,0,37,,0,,,,,19958,,,,,0,0,,,
2013-07-04,0,38,,0,,,,,19982,,,,,0,0,,,
2013-07-05,0,38,,0,,,,,20006,,,,,0,0,,,
2013-07-06,0,37,,0,,,,,20030,,,,,0,0,,,
2013-07-07,0,37,,0,,,,,20054,,,,,0,0,,,
2013-07-08,0,38,,0,,,,,20078,,,,,0,0,,,
2013-07-09,0,37,,0,,,,,20102,,,,,0,0,,,
2013-07-10,0,38,,0,,,,,20126,,,,,0,0,,,
2013-07-11,0,37,,0,,,,,20150,,,,,0,0,,,
2013-07-12,0,37,,0,,,,,20174,,,,,0,0,,,
2013-07-13,0,37,,0,,,,,20198,,,,,0,0,,,
2013-07-14,0,37,,0,,,,,20222,,,,,0,0,,,
2013-07-15,0,37,,65537,,,,,20246,,,,,0,0,,,
2013-07-16,0,38,,0,,,,,20270,,,,,0,0,,,
2013-07-17,0,38,,0,,,,,20294,,,,,0,0,,,
2013-07-18,0,43,,0,,,,,20318,,,,,0,0,,,
2013-07-19,0,36,,65537,,,,,20342,,,,,0,0,,,
2013-07-20,0,37,,0,,,,,20366,,,,,0,0,,,
2013-07-21,0,36,,0,,,,,20390,,,,,0,0,,,
2013-07-22,0,36,,1,,,,,20414,,,,,0,0,,,
2013-07-23,0,36,,0,,,,,20438,,,,,0,0,,,
2013-07-24,0,37,,0,,,,,20462,,,,,0,0,,,
2013-07-25,0,37,,0,,,,,20486,,,,,0,0,,,
2013-07-26,0,37,,0,,,,,20510,,,,,0,0,,,
2013-07-27,0,38,,0,,,,,20534,,,,,0,0,,,
2013-07-28,0,37,,0,,,,,20558,,,,,0,0,,,
2013-07-29,0,38,,0,,,,,20582,,,,,0,0,,,
2013-07-30,0,38,,1,,,,,20606,,,,,0,0,,,
2013-07-31,0,38,,0,,,,,20630,,,,,0,0,,,
2013-08-01,0,36,,65536,,,,,20654,,,,,0,0,,,
2013-08-02,0,37,,0,,,,,20678,,,,,0,0,,,
2013-08-03,0,37,,0,,,,,20702,,,,,0,0,,,
2013-08-04,0,37,,0,,,,,20726,,,,,0,0,,,
2013-08-05,0,38,,65536,,,,,20750,,,,,0,0,,,
2013-08-06,0,38,,0,,,,,20774,,,,,0,0,,,
2013-08-07,0,38,,0,,,,,20798,,,,,0,0,,,
2013-08-08,0,38,,65536,,,,,20822,,,,,0,0,,,
2013-08-09,0,38,,0,,,,,20846,,,,,0,0,,,
2013-08-10,0,38,,1,,,,,20870,,,,,0,0,,,
2013-08-11,0,37,,0,,,,,20894,,,,,0,0,,,
2013-08-12,0,37,,0,,,,,20918,,,,,0,0,,,
2013-08-13,0,38,,0,,,,,20942,,,,,0,0,,,
2013-08-14,0,38,,0,,,,,20966,,,,,0,0,,,
2013-08-15,0,37,,0,,,,,20990,,,,,0,0,,,
2013-08-16,0,37,,0,,,,,21014,,,,,0,0,,,
2013-08-17,0,38,,0,,,,,21038,,,,,0,0,,,
2013-08-18,0,38,,2,,,,,21062,,,,,0,0,,,
2013-08-19,0,39,,0,,,,,21086,,,,,0,0,,,
2013-10-15,0,35,,0,,,,,22454,,,,,0,0,,,
2013-10-16,0,39,,0,,,,,22478,,,,,0,0,,,
2013-10-17,0,40,,0,,,,,22502,,,,,0,0,,,
2013-10-18,0,39,,0,,,,,22526,,,,,0,0,,,
2013-10-19,0,38,,0,,,,,22550,,,,,0,0,,,
2013-10-20,0,38,,0,,,,,22574,,,,,0,0,,,
2013-10-21,0,38,,0,,,,,22598,,,,,0,0,,,
2013-10-22,0,39,,0,,,,,22622,,,,,0,0,,,
2013-10-23,0,39,,0,,,,,22646,,,,,0,0,,,
2013-10-24,0,38,,0,,,,,22670,,,,,0,0,,,
2013-10-25,0,37,,0,,,,,22694,,,,,0,0,,,
2013-10-26,0,38,,0,,,,,22718,,,,,0,0,,,
2013-10-27,0,38,,0,,,,,22742,,,,,0,0,,,
2013-10-28,0,38,,1,,,,,22766,,,,,0,0,,,
2013-10-29,0,39,,0,,,,,22790,,,,,0,0,,,
2013-10-30,0,39,,0,,,,,22814,,,,,0,0,,,
2013-10-31,0,38,,0,,,,,22838,,,,,0,0,,,
2013-11-01,0,39,,0,,,,,22862,,,,,0,0,,,
2013-11-02,0,39,,0,,,,,22886,,,,,0,0,,,
2013-11-03,0,39,,0,,,,,22910,,,,,0,0,,,
2013-11-04,0,39,,0,,,,,22935,,,,,0,0,,,
2013-11-05,0,40,,0,,,,,22959,,,,,0,0,,,
2013-11-06,0,39,,0,,,,,22983,,,,,0,0,,,
2013-11-07,0,38,,0,,,,,23007,,,,,0,0,,,
2013-11-08,0,39,,0,,,,,23031,,,,,0,0,,,
2013-11-09,0,38,,1,,,,,23055,,,,,0,0,,,
2013-11-10,0,39,,65537,,,,,23079,,,,,0,0,,,
2013-11-11,0,39,,0,,,,,23103,,,,,0,0,,,
2013-11-12,0,40,,0,,,,,23127,,,,,0,0,,,
2013-11-13,0,40,,0,,,,,23151,,,,,0,0,,,
2013-11-14,0,35,,1,,,,,23175,,,,,0,0,,,
2013-11-15,0,35,,0,,,,,23199,,,,,0,0,,,
2013-11-16,0,37,,0,,,,,23223,,,,,0,0,,,
2013-11-17,0,36,,0,,,,,23247,,,,,0,0,,,
2013-11-18,0,36,,0,,,,,23271,,,,,0,0,,,
2013-11-19,0,35,,0,,,,,23295,,,,,0,0,,,
2013-11-20,0,35,,0,,,,,23319,,,,,0,0,,,
2013-11-21,0,36,,0,,,,,23343,,,,,0,0,,,
2013-11-22,0,37,,65536,,,,,23367,,,,,0,0,,,
2013-11-23,0,37,,0,,,,,23391,,,,,0,0,,,
