date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2013-04-10,0,27,,1,,,,,16542,,,,,0,0,,,
2013-04-11,0,26,,0,,,,,16566,,,,,0,0,,,
2013-04-12,0,26,,0,,,,,16590,,,,,0,0,,,
2013-04-13,0,26,,0,,,,,16614,,,,,0,0,,,
2013-04-14,0,26,,0,,,,,16638,,,,,0,0,,,
2013-04-15,0,26,,0,,,,,16662,,,,,0,0,,,
2013-04-16,0,26,,0,,,,,16686,,,,,0,0,,,
2013-04-17,0,26,,0,,,,,16710,,,,,0,0,,,
2013-04-18,0,26,,0,,,,,16734,,,,,0,0,,,
2013-04-19,0,26,,0,,,,,16758,,,,,0,0,,,
2013-04-20,0,26,,0,,,,,16782,,,,,0,0,,,
2013-04-21,0,26,,0,,,,,16806,,,,,0,0,,,
2013-04-22,0,27,,0,,,,,16830,,,,,0,0,,,
2013-04-23,0,26,,0,,,,,16854,,,,,0,0,,,
2013-04-24,0,26,,0,,,,,16878,,,,,0,0,,,
2013-04-25,0,25,,0,,,,,16902,,,,,0,0,,,
2013-04-26,0,28,,0,,,,,16920,,,,,0,0,,,
2013-04-27,0,28,,0,,,,,16944,,,,,0,0,,,
2013-04-28,0,28,,0,,,,,16968,,,,,0,0,,,
2013-04-29,0,28,,0,,,,,16992,,,,,0,0,,,
2013-04-30,0,27,,0,,,,,17016,,,,,0,0,,,
2013-05-01,0,27,,0,,,,,17040,,,,,0,0,,,
2013-05-02,0,28,,0,,,,,17064,,,,,0,0,,,
2013-05-03,0,28,,0,,,,,17088,,,,,0,0,,,
2013-05-04,0,28,,1,,,,,17112,,,,,0,0,,,
2013-05-05,0,28,,0,,,,,17136,,,,,0,0,,,
2013-05-06,0,28,,0,,,,,17160,,,,,0,0,,,
2013-05-07,0,28,,0,,,,,17184,,,,,0,0,,,
2013-05-08,0,27,,0,,,,,17208,,,,,0,0,,,
2013-05-09,0,27,,0,,,,,17232,,,,,0,0,,,
2013-05-10,0,27,,0,,,,,17256,,,,,0,0,,,
2013-05-11,0,27,,0,,,,,17280,,,,,0,0,,,
2013-05-12,0,27,,0,,,,,17304,,,,,0,0,,,
2013-05-13,0,27,,0,,,,,17328,,,,,0,0,,,
2013-05-14,0,26,,0,,,,,17352,,,,,0,0,,,
2013-05-15,0,27,,0,,,,,17376,,,,,0,0,,,
2013-05-16,0,27,,0,,,,,17400,,,,,0,0,,,
2013-05-17,0,27,,0,,,,,17424,,,,,0,0,,,
2013-05-18,0,27,,0,,,,,17448,,,,,0,0,,,
2013-05-19,0,27,,0,,,,,17472,,,,,0,0,,,
2013-05-20,0,27,,0,,,,,17496,,,,,0,0,,,
2013-05-21,0,27,,0,,,,,17520,,,,,0,0,,,
2013-05-22,0,28,,0,,,,,17544,,,,,0,0,,,
2013-05-23,0,28,,0,,,,,17568,,,,,0,0,,,
2013-05-24,0,28,,0,,,,,17592,,,,,0,0,,,
2013-05-25,0,26,,0,,,,,17616,,,,,0,0,,,
2013-05-26,0,27,,0,,,,,17640,,,,,0,0,,,
2013-05-27,0,28,,0,,,,,17664,,,,,0,0,,,
2013-05-28,0,27,,0,,,,,17688,,,,,0,0,,,
2013-05-29,0,27,,0,,,,,17712,,,,,0,0,,,
2013-05-30,0,27,,0,,,,,17736,,,,,0,0,,,
2013-05-31,0,27,,0,,,,,17760,,,,,0,0,,,
2013-06-01,0,27,,0,,,,,17784,,,,,0,0,,,
2013-06-02,0,27,,0,,,,,17808,,,,,0,0,,,
2013-06-03,0,22,,1,,,,,17832,,,,,0,0,,,
2013-06-04,0,23,,0,,,,,17856,,,,,0,0,,,
2013-06-05,0,25,,0,,,,,17880,,,,,0,0,,,
2013-06-06,0,24,,1,,,,,17904,,,,,0,0,,,
2013-06-07,0,23,,0,,,,,17928,,,,,0,0,,,
2013-06-08,0,27,,0,,,,,17952,,,,,0,0,,,
2013-06-09,0,27,,0,,,,,17976,,,,,0,0,,,
2013-06-10,0,27,,0,,,,,18000,,,,,0,0,,,
2013-06-11,0,27,,65537,,,,,18024,,,,,0,0,,,
2013-06-12,0,35,,0,,,,,18048,,,,,0,0,,,
2013-06-13,0,24,,2,,,,,18072,,,,,0,0,,,
2013-06-14,0,26,,65536,,,,,18096,,,,,0,0,,,
2013-06-15,0,27,,0,,,,,18120,,,,,0,0,,,
2013-06-16,0,26,,0,,,,,18144,,,,,0,0,,,
2013-06-17,0,27,,0,,,,,18168,,,,,0,0,,,
2013-06-18,0,28,,0,,,,,18192,,,,,0,0,,,
2013-06-19,0,29,,0,,,,,18216,,,,,0,0,,,
2013-06-20,0,27,,0,,,,,18240,,,,,0,0,,,
2013-06-21,0,27,,0,,,,,18264,,,,,0,0,,,
2013-06-22,0,27,,0,,,,,18288,,,,,0,0,,,
2013-06-23,0,26,,0,,,,,18312,,,,,0,0,,,
2013-06-24,0,26,,0,,,,,18336,,,,,0,0,,,
2013-06-25,0,26,,0,,,,,18360,,,,,0,0,,,
2013-06-26,0,26,,0,,,,,18384,,,,,0,0,,,
2013-06-27,0,26,,0,,,,,18408,,,,,0,0,,,
2013-06-28,0,26,,0,,,,,18432,,,,,0,0,,,
2013-06-29,0,27,,0,,,,,18456,,,,,0,0,,,
2013-06-30,0,27,,0,,,,,18480,,,,,0,0,,,
2013-07-01,0,27,,0,,,,,18504,,,,,0,0,,,
2013-07-02,0,27,,0,,,,,18528,,,,,0,0,,,
2013-07-03,0,26,,0,,,,,18552,,,,,0,0,,,
2013-07-04,0,27,,0,,,,,18576,,,,,0,0,,,
2013-07-05,0,27,,0,,,,,18600,,,,,0,0,,,
2013-07-06,0,26,,0,,,,,18624,,,,,0,0,,,
2013-07-07,0,27,,0,,,,,18648,,,,,0,0,,,
2013-07-08,0,26,,0,,,,,18672,,,,,0,0,,,
2013-07-09,0,27,,0,,,,,18696,,,,,0,0,,,
2013-07-10,0,27,,0,,,,,18720,,,,,0,0,,,
2013-07-11,0,25,,0,,,,,18744,,,,,0,0,,,
2013-07-12,0,26,,0,,,,,18768,,,,,0,0,,,
2013-07-13,0,26,,0,,,,,18792,,,,,0,0,,,
2013-07-14,0,27,,0,,,,,18816,,,,,0,0,,,
2013-07-15,0,26,,0,,,,,18840,,,,,0,0,,,
2013-07-16,0,27,,0,,,,,18864,,,,,0,0,,,
2013-07-17,0,27,,0,,,,,18888,,,,,0,0,,,
2013-07-18,0,30,,0,,,,,18912,,,,,0,0,,,
2013-07-19,0,26,,0,,,,,18936,,,,,0,0,,,
2013-07-20,0,26,,0,,,,,18960,,,,,0,0,,,
2013-07-21,0,26,,0,,,,,18984,,,,,0,0,,,
2013-07-22,0,26,,0,,,,,19008,,,,,0,0,,,
2013-07-23,0,26,,0,,,,,19032,,,,,0,0,,,
2013-07-24,0,26,,0,,,,,19056,,,,,0,0,,,
2013-07-25,0,26,,0,,,,,19080,,,,,0,0,,,
2013-07-26,0,27,,0,,,,,19104,,,,,0,0,,,
2013-07-27,0,29,,0,,,,,19128,,,,,0,0,,,
2013-07-28,0,26,,0,,,,,19152,,,,,0,0,,,
2013-07-29,0,27,,0,,,,,19176,,,,,0,0,,,
2013-07-30,0,27,,0,,,,,19200,,,,,0,0,,,
2013-07-31,0,26,,0,,,,,19224,,,,,0,0,,,
2013-08-01,0,26,,0,,,,,19248,,,,,0,0,,,
2013-08-02,0,27,,0,,,,,19272,,,,,0,0,,,
2013-08-03,0,26,,0,,,,,19296,,,,,0,0,,,
2013-08-04,0,26,,0,,,,,19320,,,,,0,0,,,
2013-08-05,0,27,,0,,,,,19344,,,,,0,0,,,
2013-08-06,0,27,,0,,,,,19368,,,,,0,0,,,
2013-08-07,0,27,,0,,,,,19392,,,,,0,0,,,
2013-08-08,0,27,,0,,,,,19416,,,,,0,0,,,
2013-08-09,0,27,,0,,,,,19440,,,,,0,0,,,
2013-08-10,0,27,,0,,,,,19464,,,,,0,0,,,
2013-08-11,0,26,,0,,,,,19488,,,,,0,0,,,
2013-08-12,0,27,,0,,,,,19512,,,,,0,0,,,
2013-08-13,0,27,,0,,,,,19536,,,,,0,0,,,
2013-08-14,0,27,,0,,,,,19560,,,,,0,0,,,
2013-08-15,0,27,,0,,,,,19584,,,,,0,0,,,
2013-08-16,0,27,,0,,,,,19608,,,,,0,0,,,
2013-08-17,0,27,,0,,,,,19632,,,,,0,0,,,
2013-08-18,0,27,,0,,,,,19656,,,,,0,0,,,
2013-08-19,0,28,,0,,,,,19680,,,,,0,0,,,
2013-10-15,0,24,,0,,,,,21048,,,,,0,0,,,
2013-10-16,0,27,,0,,,,,21072,,,,,0,0,,,
2013-10-17,0,28,,0,,,,,21096,,,,,0,0,,,
2013-10-18,0,29,,0,,,,,21120,,,,,0,0,,,
2013-10-19,0,27,,0,,,,,21144,,,,,0,0,,,
2013-10-20,0,28,,0,,,,,21168,,,,,0,0,,,
2013-10-21,0,28,,0,,,,,21192,,,,,0,0,,,
2013-10-22,0,27,,0,,,,,21216,,,,,0,0,,,
2013-10-23,0,28,,0,,,,,21240,,,,,0,0,,,
2013-10-24,0,27,,0,,,,,21264,,,,,0,0,,,
2013-10-25,0,26,,0,,,,,21288,,,,,0,0,,,
2013-10-26,0,27,,0,,,,,21312,,,,,0,0,,,
