date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 8: Seek_Time_Performance (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 2: Throughput_Performance (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,27,,0,,,,,19250,,,,,0,0,,,,False,False,False
2013-04-11,0,27,,0,,,,,19273,,,,,0,0,,,,False,False,False
2013-04-12,0,27,,1,,,,,19297,,,,,0,0,,,,False,False,False
2013-04-13,0,27,,0,,,,,19321,,,,,0,0,,,,False,False,False
2013-04-14,0,27,,0,,,,,19345,,,,,0,0,,,,False,False,False
2013-04-15,0,28,,0,,,,,19369,,,,,0,0,,,,False,False,False
2013-04-16,0,27,,0,,,,,19393,,,,,0,0,,,,False,False,False
2013-04-17,0,27,,0,,,,,19417,,,,,0,0,,,,False,False,False
2013-04-18,0,27,,0,,,,,19441,,,,,0,0,,,,False,False,False
2013-04-19,0,27,,0,,,,,19465,,,,,0,0,,,,False,False,False
2013-04-20,0,27,,0,,,,,19489,,,,,0,0,,,,False,False,False
2013-04-21,0,27,,0,,,,,19513,,,,,0,0,,,,False,False,False
2013-04-22,0,27,,0,,,,,19537,,,,,0,0,,,,False,False,False
2013-04-23,0,27,,0,,,,,19561,,,,,0,0,,,,False,False,False
2013-04-24,0,27,,0,,,,,19585,,,,,0,0,,,,False,False,False
2013-04-25,0,27,,0,,,,,19610,,,,,0,0,,,,False,False,False
2013-04-26,0,27,,0,,,,,19633,,,,,0,0,,,,False,False,False
2013-04-27,0,27,,0,,,,,19657,,,,,0,0,,,,False,False,False
2013-04-28,0,27,,0,,,,,19682,,,,,0,0,,,,False,False,False
2013-04-29,0,27,,0,,,,,19705,,,,,0,0,,,,False,False,False
2013-04-30,0,27,,0,,,,,19729,,,,,0,0,,,,False,False,False
2013-05-01,0,27,,0,,,,,19754,,,,,0,0,,,,False,False,False
2013-05-02,0,26,,0,,,,,19777,,,,,0,0,,,,False,False,False
2013-05-03,0,26,,0,,,,,19802,,,,,0,0,,,,False,False,False
2013-05-04,0,26,,0,,,,,19825,,,,,0,0,,,,False,False,False
2013-05-05,0,27,,0,,,,,19850,,,,,0,0,,,,False,False,False
2013-05-06,0,27,,0,,,,,19873,,,,,0,0,,,,False,False,False
2013-05-07,0,27,,0,,,,,19897,,,,,0,0,,,,False,False,False
2013-05-08,0,26,,0,,,,,19922,,,,,0,0,,,,False,False,False
2013-05-09,0,27,,0,,,,,19945,,,,,0,0,,,,False,False,False
2013-05-10,0,26,,0,,,,,19969,,,,,0,0,,,,False,False,False
2013-05-11,0,26,,0,,,,,19993,,,,,0,0,,,,False,False,False
2013-05-12,0,26,,0,,,,,20018,,,,,0,0,,,,False,False,False
2013-05-13,0,26,,0,,,,,20041,,,,,0,0,,,,False,False,False
2013-05-14,0,26,,0,,,,,20065,,,,,0,0,,,,False,False,False
2013-05-15,0,26,,0,,,,,20089,,,,,0,0,,,,False,False,False
2013-05-16,0,26,,0,,,,,20113,,,,,0,0,,,,False,False,False
2013-05-17,0,25,,0,,,,,20137,,,,,0,0,,,,False,False,False
2013-05-18,0,26,,0,,,,,20161,,,,,0,0,,,,False,False,False
2013-05-19,0,26,,0,,,,,20185,,,,,0,0,,,,False,False,False
2013-05-20,0,26,,0,,,,,20209,,,,,0,0,,,,False,False,False
2013-05-21,0,26,,0,,,,,20234,,,,,0,0,,,,False,False,False
2013-05-22,0,26,,0,,,,,20257,,,,,0,0,,,,False,False,False
2013-05-23,0,26,,0,,,,,20281,,,,,0,0,,,,False,False,False
2013-05-24,0,27,,0,,,,,20305,,,,,0,0,,,,False,False,False
2013-05-25,0,27,,0,,,,,20329,,,,,0,0,,,,False,False,False
2013-05-26,0,27,,0,,,,,20353,,,,,0,0,,,,False,False,False
2013-05-27,0,27,,0,,,,,20378,,,,,0,0,,,,False,False,False
2013-05-28,0,27,,0,,,,,20401,,,,,0,0,,,,False,False,False
2013-05-29,0,27,,0,,,,,20426,,,,,0,0,,,,False,False,False
2013-05-30,0,27,,0,,,,,20449,,,,,0,0,,,,False,False,False
2013-05-31,0,27,,0,,,,,20474,,,,,0,0,,,,False,False,False
2013-06-01,0,26,,0,,,,,20498,,,,,0,0,,,,False,False,False
2013-06-02,0,26,,0,,,,,20521,,,,,0,0,,,,False,False,False
2013-06-03,0,27,,0,,,,,20545,,,,,0,0,,,,False,False,False
2013-06-04,0,26,,0,,,,,20569,,,,,0,0,,,,False,False,False
2013-06-05,0,27,,0,,,,,20593,,,,,0,0,,,,False,False,False
2013-06-06,0,27,,0,,,,,20617,,,,,0,0,,,,False,False,False
2013-06-07,0,26,,0,,,,,20641,,,,,0,0,,,,False,False,False
2013-06-08,0,26,,0,,,,,20665,,,,,0,0,,,,False,False,False
2013-06-09,0,26,,0,,,,,20689,,,,,0,0,,,,False,False,False
2013-06-10,0,26,,0,,,,,20713,,,,,0,0,,,,False,False,False
2013-06-11,0,26,,0,,,,,20738,,,,,0,0,,,,False,False,False
2013-06-12,0,27,,0,,,,,20761,,,,,0,0,,,,False,False,False
2013-06-13,0,26,,0,,,,,20785,,,,,0,0,,,,False,False,False
2013-06-14,0,27,,0,,,,,20809,,,,,0,0,,,,False,False,False
2013-06-15,0,26,,0,,,,,20833,,,,,0,0,,,,False,False,False
2013-06-16,0,26,,0,,,,,20857,,,,,0,0,,,,False,False,False
2013-06-17,0,26,,0,,,,,20881,,,,,0,0,,,,False,False,False
2013-06-18,0,26,,0,,,,,20905,,,,,0,0,,,,False,False,False
2013-06-19,0,27,,0,,,,,20929,,,,,0,0,,,,False,False,False
2013-06-20,0,26,,0,,,,,20953,,,,,0,0,,,,False,False,False
