date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value),op_fail_30,op_fail_15,op_fail_1
2013-04-10,0,26,0,,,,,10251,,,,,,0,0,,,,False,False,False
2013-04-11,0,25,0,,,,,10275,,,,,,0,0,,,,False,False,False
2013-04-12,0,30,0,,,,,10299,,,,,,0,0,,,,False,False,False
2013-04-13,0,29,0,,,,,10323,,,,,,0,0,,,,False,False,False
2013-04-14,0,29,0,,,,,10347,,,,,,0,0,,,,False,False,False
2013-04-15,0,30,0,,,,,10371,,,,,,0,0,,,,False,False,False
2013-04-16,0,29,0,,,,,10395,,,,,,0,0,,,,False,False,False
2013-04-17,0,30,0,,,,,10419,,,,,,0,0,,,,False,False,False
2013-04-18,0,30,0,,,,,10443,,,,,,0,0,,,,False,False,False
2013-04-19,0,28,0,,,,,10467,,,,,,0,0,,,,False,False,False
2013-04-20,0,28,0,,,,,10491,,,,,,0,0,,,,False,False,False
2013-04-21,0,29,0,,,,,10515,,,,,,0,0,,,,False,False,False
2013-04-22,0,29,0,,,,,10539,,,,,,0,0,,,,False,False,False
2013-04-23,0,30,0,,,,,10563,,,,,,0,0,,,,False,False,False
2013-04-24,0,26,0,,,,,10587,,,,,,0,0,,,,False,False,False
2013-04-25,0,24,0,,,,,10611,,,,,,0,0,,,,False,False,False
2013-04-26,0,23,0,,,,,10635,,,,,,0,0,,,,False,False,False
2013-04-27,0,23,0,,,,,10659,,,,,,0,0,,,,False,False,False
