date,failure,Smart 194: Temperature_Celsius (Raw Value),Smart 1: Raw_Read_Error_Rate (Raw Value),Smart 12: Power_Cycle_Count (Raw Value),Smart 4: Start_Stop_Count (Raw Value),Smart 10: Spin_Retry_Count (Raw Value),Smart 192: Power-Off_Retract_Count (Raw Value),Smart 9: Power_On_Hours (Raw Value),Smart 7: Seek_Error_Rate (Raw Value),Smart 193: Load_Cycle_Count (Raw Value),Smart 3: Spin_Up_Time (Raw Value),Smart 11: Calibration_Retry_Count (Raw Value),Smart 200: Multi_Zone_Error_Rate (Raw Value),Smart 5: Reallocated_Sector_Ct (Raw Value),Smart 197: Current_Pending_Sector (Raw Value),Smart 198: Offline_Uncorrectable (Raw Value),Smart 199: UDMA_CRC_Error_Count (Raw Value),Smart 196: Reallocated_Event_Count (Raw Value)
2014-08-01,0,24,0,3,3,0,2,61,0,5,0,0,0,0,0,0,0,0
2014-08-02,0,23,0,3,3,0,2,84,0,7,0,0,0,0,0,0,0,0
2014-08-03,0,23,0,3,3,0,2,109,0,8,0,0,0,0,0,0,0,0
2014-08-04,0,23,0,3,3,0,2,133,0,10,0,0,0,0,0,0,0,0
2014-08-05,0,23,0,7,7,0,2,156,0,15,8633,0,0,0,0,0,0,0
2014-08-06,0,23,0,7,7,0,2,180,0,15,8633,0,0,0,0,0,0,0
2014-08-07,0,23,0,7,7,0,2,204,0,16,8633,0,0,0,0,0,0,0
2014-08-08,0,23,0,7,7,0,2,228,0,16,8633,0,0,0,0,0,0,0
2014-08-09,0,24,0,7,7,0,2,251,0,16,8633,0,0,0,0,0,0,0
2014-08-12,0,27,0,7,7,0,2,324,0,17,8633,0,0,0,0,0,0,0
2014-08-13,0,25,0,7,7,0,2,348,0,18,8633,0,0,0,0,0,0,0
2014-08-14,0,25,0,7,7,0,2,372,0,19,8633,0,0,0,0,0,0,0
2014-08-15,0,25,0,7,7,0,2,396,0,21,8633,0,0,0,0,0,0,0
2014-08-16,0,26,0,7,7,0,2,419,0,23,8633,0,0,0,0,0,0,0
2014-08-17,0,26,0,7,7,0,2,444,0,24,8633,0,0,0,0,0,0,0
2014-08-18,0,26,0,7,7,0,2,468,0,26,8633,0,0,0,0,0,0,0
2014-08-19,0,26,0,7,7,0,2,491,0,27,8633,0,0,0,0,0,0,0
2014-08-20,0,27,0,7,7,0,2,516,0,29,8633,0,0,0,0,0,0,0
2014-08-21,0,25,0,7,7,0,2,540,0,31,8633,0,0,0,0,0,0,0
2014-08-22,0,26,0,7,7,0,2,563,0,32,8633,0,0,0,0,0,0,0
2014-08-23,0,26,0,8,8,0,2,587,0,35,9000,0,0,0,0,0,0,0
2014-08-24,0,26,0,8,8,0,2,612,0,36,9000,0,0,0,0,0,0,0
2014-08-25,0,26,0,8,8,0,2,635,0,38,9000,0,0,0,0,0,0,0
2014-08-26,0,25,0,8,8,0,2,659,0,39,9000,0,0,0,0,0,0,0
2014-08-27,0,25,0,8,8,0,2,683,0,41,9000,0,0,0,0,0,0,0
2014-08-28,0,25,0,8,8,0,2,707,0,42,9000,0,0,0,0,0,0,0
2014-08-29,0,25,0,8,8,0,2,731,0,44,9000,0,0,0,0,0,0,0
2014-08-30,0,25,0,8,8,0,2,755,0,45,9000,0,0,0,0,0,0,0
2014-08-31,0,25,0,8,8,0,2,779,0,46,9000,0,0,0,0,0,0,0
2014-09-01,0,25,0,8,8,0,2,803,0,47,9000,0,0,0,0,0,0,0
2014-09-02,0,25,0,8,8,0,2,827,0,48,9000,0,0,0,0,0,0,0
2014-09-03,0,25,0,8,8,0,2,851,0,49,9000,0,0,0,0,0,0,0
2014-09-04,0,25,0,8,8,0,2,875,0,50,9000,0,0,0,0,0,0,0
2014-09-05,0,25,0,8,8,0,2,899,0,52,9000,0,0,0,0,0,0,0
2014-09-06,0,25,0,8,8,0,2,923,0,53,9000,0,0,0,0,0,0,0
2014-09-07,0,25,0,8,8,0,2,947,0,54,9000,0,0,0,0,0,0,0
2014-09-08,0,25,0,8,8,0,2,971,0,55,9000,0,0,0,0,0,0,0
2014-09-09,0,24,0,8,8,0,2,995,0,57,9000,0,0,0,0,0,0,0
2014-09-10,0,26,0,8,8,0,2,1019,0,59,9000,0,0,0,0,0,0,0
2014-09-11,0,27,0,8,8,0,2,1043,0,61,9000,0,0,0,0,0,0,0
2014-09-12,0,28,0,9,9,0,2,1065,0,64,9016,0,0,0,0,0,0,0
2014-09-13,0,30,0,9,9,0,2,1090,0,66,9016,0,0,0,0,0,0,0
2014-09-14,0,30,0,9,9,0,2,1114,0,68,9016,0,0,0,0,0,0,0
2014-09-15,0,29,0,9,9,0,2,1137,0,70,9016,0,0,0,0,0,0,0
2014-09-16,0,30,0,9,9,0,2,1162,0,72,9016,0,0,0,0,0,0,0
2014-09-17,0,29,0,9,9,0,2,1186,0,74,9016,0,0,0,0,0,0,0
2014-09-18,0,30,0,9,9,0,2,1209,0,76,9016,0,0,0,0,0,0,0
2014-09-19,0,29,0,9,9,0,2,1234,0,78,9016,0,0,0,0,0,0,0
